ani_file	long_name	ref_name
Limnohabitans_sp_63ED37-2_NZ.CP011774.1	Limnohabitans sp. 63ED37-2	Lim. sp. 63ED37-2
Limnohabitans_sp_DM1_NZ.CXOO00000000.1	Limnohabitans sp. DM1	Lim. sp. DM1
Limnohabitans_sp_Rim11_CXOM00000000.1	Limnohabitans sp. Rim11	Lim. sp. Rim11
Limnohabitans_sp_Rim28_NZ.ALKN00000000.1	Limnohabitans sp. Rim28	Lim. sp. Rim28
Limnohabitans_sp_Rim47_2684622883	Limnohabitans sp. Rim47	Lim. sp. Rim47
Limnohabitans_planktonicus_II.D5_NZ.LFYT00000000.1	Limnohabitans sp. II-D5	Lim. sp. II-D5
Limnohabitans_sp_2KL.3_NZ.CXON00000000.1	Limnohabitans sp. 2KL-3	Lim. sp. 2KL-3
Limnohabitans_sp_63ED37.2_NZ.CP011774.1	Limnohabitans sp. 63ED37-2	Lim. sp. 63ED37-2
Limnohabitans_sp_2KL.27_NZ.CXOP00000000.1	Limnohabitans sp. 2KL-27	Lim. sp. 2KL-27
Limnohabitans_planktonicus_II-D5_NZ.LFYT00000000.1	Limnohabitans sp. II-D5	Lim. sp. II-D5
Limnohabitans_sp_2KL-27_NZ.CXOP00000000.1	Limnohabitans sp. 2KL-27	Lim. sp. 2KL-27
Limnohabitans_sp_2KL-3_NZ.CXON00000000.1	Limnohabitans sp. 2KL-3	Lim. sp. 2KL-3
Limnohabitans_sp_103DPR2_NZ.CP011834.1	Limnohabitans sp. 103DPR2	Lim. sp. 103DPR2
B21_Fa13.BD.MLB.SN_rebin4	MAG2.FA-MLB-SN (2757320402)	MAG2.FA-MLB-SN
B22_Fa13.BD.MLB.SN_rebin5	MAG3.FA-MLB-SN (2757320401)	MAG3.FA-MLB-SN
B28_Fa13.BD.MM110.DN_rebin2	MAG4.FA-M110-DN (2757320403)	MAG4.FA-M110-DN
B2_Fa13.BD.MLB.DN_rebin10	MAG.noLIM (2757320405)	MAG.noLIM
B38_Sp13.BD.MM110.DD_rebin5	MAG5.SP-M110-DD (2757320396)	MAG5.SP-M110-DD
B4_Fa13.BD.MLB.DN_rebin2	MAG1.FA-MLB-DN (2757320395)	MAG1.FA-MLB-DN
B52_Sp13.BD.MM15.SD_rebin1	MAG6.SP-M15-SD (2757320404)	MAG6.SP-M15-SD
B58_Su13.BD.MLB.SD.C_rebin3	MAG7.SU-MLB-SD (2757320397)	MAG7.SU-MLB-SD
B63_Su13.BD.MM110.DCMD_rebin1	MAG8.SU-M110-DCMD (2757320398)	MAG8.SU-M110-DCMD
B72-73_Su13.BD.MM15.SN.C_rebin5-6_refined1	MAG9.SU-M15-SN (2757320399)	MAG9.SU-M15-SN
B72-73_Su13.BD.MM15.SN.C_rebin5-6_refined2	MAG10.SU-M15-SN (2757320400)	MAG10.SU-M15-SN
B72.73_Su13.BD.MM15.SN.C_rebin5.6_refined1	MAG9.SU-M15-SN (2757320399)	MAG9.SU-M15-SN
B72.73_Su13.BD.MM15.SN.C_rebin5.6_refined2	MAG10.SU-M15-SN (2757320400)	MAG10.SU-M15-SN
